Datetime,Adj Close,Close,High,Low,Open,Volume,DayOfWeek,Hour,HoursSinceDayOpen
2022-12-04 17:00:00-06:00,4071.0,4071.0,4075.75,4065.5,4074.0,10315.0,6,17,0
2022-12-04 18:00:00-06:00,4068.5,4068.5,4073.5,4067.75,4071.0,6579.0,6,18,1
2022-12-04 19:00:00-06:00,4068.0,4068.0,4071.5,4067.0,4068.5,10073.0,6,19,2
2022-12-04 20:00:00-06:00,4070.25,4070.25,4071.25,4067.75,4068.0,4704.0,6,20,3
2022-12-04 21:00:00-06:00,4072.0,4072.0,4072.5,4069.5,4070.75,3439.0,6,21,4
2022-12-04 22:00:00-06:00,4070.5,4070.5,4072.5,4068.5,4072.25,3103.0,6,22,5
2022-12-04 23:00:00-06:00,4071.25,4071.25,4071.25,4068.75,4070.5,3406.0,6,23,6
2022-12-05 00:00:00-06:00,4071.75,4071.75,4072.0,4067.0,4071.0,6225.0,0,0,7
2022-12-05 01:00:00-06:00,4062.5,4062.5,4072.0,4060.5,4072.0,13022.0,0,1,8
2022-12-05 02:00:00-06:00,4064.25,4064.25,4064.75,4055.5,4062.5,23578.0,0,2,9
2022-12-05 03:00:00-06:00,4060.75,4060.75,4064.75,4053.25,4064.25,17692.0,0,3,10
2022-12-05 04:00:00-06:00,4056.5,4056.5,4063.25,4055.25,4060.75,12523.0,0,4,11
2022-12-05 05:00:00-06:00,4063.25,4063.25,4064.0,4056.0,4056.5,10212.0,0,5,12
2022-12-05 06:00:00-06:00,4056.0,4056.0,4063.75,4052.5,4063.25,15361.0,0,6,13
2022-12-05 07:00:00-06:00,4046.25,4046.25,4057.75,4044.0,4055.75,35901.0,0,7,14
2022-12-05 08:00:00-06:00,4039.0,4039.0,4055.5,4039.0,4046.25,141654.0,0,8,15
2022-12-05 09:00:00-06:00,4039.5,4039.5,4042.75,4022.0,4038.75,234602.0,0,9,16
2022-12-05 10:00:00-06:00,4015.25,4015.25,4045.75,4014.5,4039.75,166953.0,0,10,17
2022-12-05 11:00:00-06:00,4009.25,4009.25,4024.0,4008.25,4015.25,132853.0,0,11,18
2022-12-05 12:00:00-06:00,3997.75,3997.75,4015.25,3996.75,4009.25,129188.0,0,12,19
2022-12-05 13:00:00-06:00,3995.0,3995.0,4002.75,3987.25,3997.5,152043.0,0,13,20
2022-12-05 14:00:00-06:00,4002.0,4002.0,4005.5,3991.75,3994.75,247153.0,0,14,21
2022-12-05 15:00:00-06:00,4006.25,4006.25,4006.5,4001.0,4002.0,53519.0,0,15,22
2022-12-05 16:00:00-06:00,4007.125,4007.125,4008.5,4002.375,4003.875,26759.5,0,16,23
2022-12-05 17:00:00-06:00,4008.0,4008.0,4010.5,4003.75,4005.75,0.0,0,17,0
2022-12-05 18:00:00-06:00,4010.25,4010.25,4012.0,4008.0,4008.25,7748.0,0,18,1
2022-12-05 19:00:00-06:00,4011.0,4011.0,4014.75,4009.75,4010.5,11613.0,0,19,2
2022-12-05 20:00:00-06:00,4010.25,4010.25,4014.5,4009.75,4010.75,7976.0,0,20,3
2022-12-05 21:00:00-06:00,4010.25,4010.25,4012.25,4007.25,4010.25,6695.0,0,21,4
2022-12-05 22:00:00-06:00,4006.75,4006.75,4010.75,4005.5,4010.25,4758.0,0,22,5
2022-12-05 23:00:00-06:00,4006.0,4006.0,4008.0,4002.5,4006.5,8596.0,0,23,6
2022-12-06 00:00:00-06:00,4004.75,4004.75,4006.25,4002.0,4006.0,6507.0,1,0,7
2022-12-06 01:00:00-06:00,4004.25,4004.25,4007.25,4000.25,4004.5,10565.0,1,1,8
2022-12-06 02:00:00-06:00,4012.5,4012.5,4014.0,3997.5,4004.0,25763.0,1,2,9
2022-12-06 03:00:00-06:00,4004.75,4004.75,4013.75,4004.0,4012.75,16540.0,1,3,10
2022-12-06 04:00:00-06:00,4003.25,4003.25,4006.75,3997.5,4004.5,26049.0,1,4,11
2022-12-06 05:00:00-06:00,4005.75,4005.75,4006.5,3999.25,4003.25,15350.0,1,5,12
2022-12-06 06:00:00-06:00,4004.5,4004.5,4011.25,4004.0,4005.5,20121.0,1,6,13
2022-12-06 07:00:00-06:00,4003.0,4003.0,4007.5,3994.75,4004.75,42872.0,1,7,14
2022-12-06 08:00:00-06:00,3977.0,3977.0,4006.0,3976.75,4003.25,182096.0,1,8,15
2022-12-06 09:00:00-06:00,3958.5,3958.5,3980.25,3953.0,3977.25,302705.0,1,9,16
2022-12-06 10:00:00-06:00,3956.0,3956.0,3964.0,3951.0,3960.0,200438.0,1,10,17
