,prediction
2024-11-29 18:00:00+00:00,6035.5596
2024-11-29 19:00:00+00:00,6035.951
2024-11-29 20:00:00+00:00,6035.9795
2024-11-29 21:00:00+00:00,6035.293
2024-11-29 22:00:00+00:00,6034.867
2024-11-29 23:00:00+00:00,6034.4873
2024-11-30 00:00:00+00:00,6034.328
2024-11-30 01:00:00+00:00,6035.882
2024-11-30 02:00:00+00:00,6035.2407
2024-11-30 03:00:00+00:00,6035.2236
2024-11-30 04:00:00+00:00,6037.157
2024-11-30 05:00:00+00:00,6034.539
2024-11-30 06:00:00+00:00,6035.8325
2024-11-30 07:00:00+00:00,6034.3926
2024-11-30 08:00:00+00:00,6036.0435
2024-11-30 09:00:00+00:00,6034.8843
2024-11-30 10:00:00+00:00,6034.42
2024-11-30 11:00:00+00:00,6034.1035
2024-11-30 12:00:00+00:00,6035.6445
2024-11-30 13:00:00+00:00,6035.6963
2024-11-30 14:00:00+00:00,6036.3037
2024-11-30 15:00:00+00:00,6036.3125
2024-11-30 16:00:00+00:00,6036.961
2024-11-30 17:00:00+00:00,6035.823
2024-11-30 18:00:00+00:00,6033.2954
2024-11-30 19:00:00+00:00,6035.287
2024-11-30 20:00:00+00:00,6034.828
2024-11-30 21:00:00+00:00,6032.8516
2024-11-30 22:00:00+00:00,6035.0244
2024-11-30 23:00:00+00:00,6036.502
2024-12-01 00:00:00+00:00,6035.2256
2024-12-01 01:00:00+00:00,6033.904
2024-12-01 02:00:00+00:00,6035.638
2024-12-01 03:00:00+00:00,6037.0796
2024-12-01 04:00:00+00:00,6035.8867
2024-12-01 05:00:00+00:00,6031.3516
2024-12-01 06:00:00+00:00,6034.883
2024-12-01 07:00:00+00:00,6033.9243
2024-12-01 08:00:00+00:00,6037.832
2024-12-01 09:00:00+00:00,6039.628
2024-12-01 10:00:00+00:00,6036.031
2024-12-01 11:00:00+00:00,6036.802
2024-12-01 12:00:00+00:00,6037.328
2024-12-01 13:00:00+00:00,6035.5513
2024-12-01 14:00:00+00:00,6034.296
2024-12-01 15:00:00+00:00,6031.078
2024-12-01 16:00:00+00:00,6035.3896
2024-12-01 17:00:00+00:00,6032.4785
